dataset	column	dtype	description	n_unique_values	n_empty_values	bids_levels	bids_units	is_categorical	min	max	standardized_var	llm_classification	llm_snomed_term	llm_label	snomed_label	llm_confidence	reviewer_rating	reviewer_notes	reviewer_name	assessment_term	assessment_label	age_format	exclude
ds003478	sex	Int64	sex of the participant	2	1	one, two		True	1	2	nb:Sex								Seb				
ds003478	STAI	Int64	Speilberger Trait Anxiety Inventory score	40	1			False	22	69		nb:Assessment	other assessment	n/a	not found	medium	incorrect		Seb	273830002			
ds003655	Accuracy_Manipulation_5	Float64	accuracy in proportion of correct response in the manipulation task with 5 load	12	0			False	0.45	1.0		nb:Assessment	other assessment	n/a	not found	medium	incorrect	measurement, not an assessment	Seb				
ds003655	Accuracy_Manipulation_6	Float64	accuracy in proportion of correct response in the manipulation task with 6 load	15	0			False	0.3	1.0		nb:Assessment	other assessment	n/a	not found	medium	incorrect	measurement, not an assessment	Seb				
ds003655	Accuracy_Manipulation_7	Float64	accuracy in proportion of correct response in the manipulation task with 7 load	12	0			False	0.35	0.9		nb:Assessment	other assessment	n/a	not found	medium	incorrect	measurement, not an assessment	Seb				
ds003655	Accuracy_Retention_5	Float64	accuracy in proportion of correct response in the retention task with 5 load	8	0			True	0.65	1.0		nb:Assessment	other assessment	n/a	not found	medium	incorrect	measurement, not an assessment	Seb				
ds003655	Accuracy_Retention_6	Float64	accuracy in proportion of correct response in the retention task with 6 load	11	0			False	0.45	1.0		nb:Assessment	other assessment	n/a	not found	medium	incorrect	measurement, not an assessment	Seb				
ds003655	Accuracy_Retention_7	Float64	accuracy in proportion of correct response in the retention task with 7 load	11	0			False	0.5	1.0		nb:Assessment	other assessment	n/a	not found	medium	incorrect	measurement, not an assessment	Seb				
ds003655	Age	Int64	age of the participant	16	0			False	17	34	nb:Age								Seb			nb:FromFloat	
ds003655	orig_ID	Int64	participant identifier from recording	156	0			False	1	186									Seb				
ds003655	participant_id	string	unique participant identifier	156	0			False			nb:ParticipantID								Seb				
ds003655	Sex	string	sex of the participant	2	0			True			nb:Sex								Seb				
ds004118	group	string	type of subject group the subject belongs to (e.g. autistic, normal, control...)	1	0			True			nb:Diagnosis								Seb				
ds004118	legacy_labID	Int64	labID used to reference the subject in ESS	156	0			False	1001	3425									Seb				
ds004118	participant_id	string		156	0			False			nb:ParticipantID								Seb				
ds004118	year_of_birth	Int64	subject’s year of birth only	37	17			False	1955	1996									Seb				
ds004186	age	Float64	age of the participant	2763	0		years	False	5.005932	21.899041	nb:Age								Seb			nb:FromFloat	
ds004186	commercial_use	string	Did the participant consent to commercial use of data?	2	0	Yes, No		True											Seb				
ds004186	full_pheno	string	Does the participant have a full phenotypic file?	2	0	Yes, No		True											Seb				
ds004186	gender	Int64	Sex of the participant	2	0	M, F		True	0	1	nb:Sex								Seb				
ds004186	handedness	Float64	Subject's handedness. +100=Fully Right-handed, -100=Fully Left-handed	289	43			False	-100.05	100.05									Seb				
ds004186	participant_id	string	Unique participant identifier	2951	0			False			nb:ParticipantID								Seb				
ds004186	release	Float64	Release number in which subjects' data was published	10	0			False	1.1	10.0									Seb				
ds004199	1year_outcome	string	postoperative outcome 12 months after epilepsy surgery according to the Engel classification	6	125	IA, IB, IIA, IIB, IIIA, IVB		True											Seb				
ds004199	age_epilepsyonset	Int64	categorized age in years at the time of the first seizure	9	85	1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13		True	1	9									Seb				
ds004199	age_op	Int64	categorized age at the time of epilepsy surgery	9	120	1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13		True	3	12									Seb				
ds004199	age_scan	Int64	categorized age in years at the time of MRI	11	0	1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13		True	3	13									Seb				
ds004199	group	string	the group a person belongs to	2	0	fcd, hc		True			nb:Diagnosis								Seb				
ds004199	hemisphere	string	hemisphere affected by the FCD	2	85	L, R		True											Seb				
ds004199	histopathology	string	histological classification according to the ILAE classification	2	120	IIa, IIb		True											Seb				
ds004199	invasive_EEG	Int64	invasive EEG diagnostic performed	2	85	1, 0		True	0	1									Seb				
ds004199	latest_outcome	string	latest postoperative outcome after epilepsy surgery according to the Engel classification	8	121	IA, IB, IC, IIA, IIB, IIC, IIIA, IVB, IVC		True											Seb				
ds004199	lobe	string	lobe affected by the FCD	8	85	FL, TL, PL, OL, IL		True											Seb				
ds004199	map	Int64	morphometric analysis performed	2	85	1, 0		True	0	1									Seb				
ds004199	mri_diagnosis	string	diagnosis made by neuroradiologists at the University Hospital Bonn at the time of presurgical assesment	3	85	suspicion, none, other		True											Seb				
ds004199	op	Int64	epilepsy surgery performed	2	0	1, 0		True	0	1									Seb				
ds004199	participant_id	string		170	0			False			nb:ParticipantID								Seb				
ds004199	pet	Int64	pet performed	2	85	1, 0		True	0	1									Seb				
ds004199	sex	string	sex of the participant	2	0	M, F		True			nb:Sex								Seb				
ds004199	spect	Int64	spect performed	2	85	1, 0		True	0	1									Seb				
ds004199	split	string		2	0			True											Seb				
ds004199	time_follow-up	Int64	date of last follow-up in years after surgery	7	121	1, 2, 3, 4, 5, 6, 7		True	1	7									Seb				
ds004395	age	Int64	Age of the participant at time of testing	34	35		years	False	17	86	nb:Age								Seb			nb:FromFloat	
ds004395	hand	string	Handedness of the participant	3	35	R, L, A		True											Seb				
ds004395	participant_id	string	Unique participant identifier	364	0			False			nb:ParticipantID								Seb				
ds004395	sex	string	Biological sex of the participant	2	49	F, M		True			nb:Sex								Seb				
ds004466	age	Int64	Age in years (TODO - verify) as in the initial session, might not be correct for other sessions	43	0			False	18	68	nb:Age								Seb			nb:FromFloat	
ds004466	group	string	(TODO: adjust - by default everyone is in control group)	2	0			True			nb:Diagnosis								Seb				
ds004466	participant_id	string	Participant identifier	127	0			False			nb:ParticipantID								Seb				
ds004466	sex	string	self-rated by participant, M for male/F for female (TODO: verify)	3	0			True			nb:Sex								Seb				
ds004574	AGE	Int64	Age of the participant	33	0			False	48	86	nb:Age								Alyssa			nb:FromFloat	
ds004574	BEHAVIOR	string	Behavior file name	146	0			False											Alyssa				
ds004574	EEG	string	EEG file name	146	0			False											Alyssa				
ds004574	GENDER	string	Gender of the participant	2	0	F, M		True			nb:Sex								Alyssa				
ds004574	GROUP	string	Control or PD	2	0			True			nb:Diagnosis								Alyssa				
ds004574	ID	Int64	ID	99	0			False	1004	1994									Alyssa				
ds004574	MOCA	Int64	MOCA score	18	0			False	9	30		nb:Assessment	1148341000000105	Montreal Cognitive Assessment	not found	high	incorrect	right concept, wrong ID	Alyssa	859351000000102			
ds004574	participant_id	string	unique participant identifier	146	0			False			nb:ParticipantID								Alyssa				
ds004574	TYPE	Int64	numeric value of participant type (1=PD, 0=Control)	2	0			True	0	1									Alyssa				
ds004574	UPDRS	Int64	UPDRS score	26	48			False	1	28		nb:Assessment	342061000000106	Unified Parkinsons disease rating scale score	Unified Parkinsons disease rating scale score	high	correct		Alyssa				
ds004579	AGE	Int64	Age of the participant	34	0			False	48	86	nb:Age								Alyssa			nb:FromFloat	
ds004579	EEG	string	EEG file name	139	0			False											Alyssa				
ds004579	GENDER	string	Gender of the participant	2	0	F, M		True			nb:Sex								Alyssa				
ds004579	GROUP	string	Control or PD	2	0			True			nb:Diagnosis								Alyssa				
ds004579	ID	Int64	ID	98	0			False	1005	1995									Alyssa				
ds004579	MOCA	Int64	MOCA score	18	0			False	9	30		nb:Assessment	1148241000000105	Montreal Cognitive Assessment version 7.3	Greene Climacteric Scale	high	incorrect	right concept, wrong ID	Alyssa	859351000000102			
ds004579	participant_id	string	unique participant identifier	139	0			False			nb:ParticipantID								Alyssa				
ds004579	TYPE	Int64	numeric value of participant type	2	0			True	0	1									Alyssa				
ds004579	UPDRS	Int64	UPDRS score	26	0			False	0	28		nb:Assessment	342061000000100	Unified Parkinsons disease rating scale score	not found	high	incorrect	right concept, wrong ID	Alyssa	342061000000106			
ds004580	AGE	Int64	Age of the participant	34	0			False	48	86	nb:Age								Alyssa			nb:FromFloat	
ds004580	BEHAVIOR	string	Behavior file name	147	0			False											Alyssa				
ds004580	EEG	string	EEG file name	147	0			False											Alyssa				
ds004580	GENDER	string	Gender of the participant	2	0	F, M		True			nb:Sex								Alyssa				
ds004580	GROUP	string	Control or PD	2	0			True			nb:Diagnosis								Alyssa				
ds004580	ID	Int64	ID	99	0			False	1003	1993									Alyssa				
ds004580	MOCA	Int64	MOCA score	17	0			False	11	30		nb:Assessment	1148423001	Montreal Cognitive Assessment version 8.1	Montreal Cognitive Assessment version 8.1	high	correct		Alyssa				
ds004580	participant_id	string	unique participant identifier	147	0			False			nb:ParticipantID								Alyssa				
ds004580	TYPE	Int64	numeric value of participant type	2	0			True	0	1									Alyssa				
ds004580	UPDRS	Int64	UPDRS score	26	48			False	1	28		nb:Assessment	342061000000100	Unified Parkinsons disease rating scale score	not found	high	incorrect	right concept, wrong ID	Alyssa	342061000000106			
ds004584	AGE	Int64	Age of the participant	34	0			False	48	86	nb:Age								Alyssa			nb:FromFloat	
ds004584	EEG	string	EEG file name	149	0			False											Alyssa				
ds004584	GENDER	string	Gender of the participant	2	0	F, M		True			nb:Sex								Alyssa				
ds004584	GROUP	string	Control or PD	2	0			True			nb:Diagnosis								Alyssa				
ds004584	ID	Int64	ID	100	0			False	1001	1991									Alyssa				
ds004584	MOCA	Int64	MOCA score	18	0			False	9	30		nb:Assessment	1148422006	Montreal Cognitive Assessment	Montreal Cognitive Assessment version 7.3	high	correct		Alyssa				
ds004584	participant_id	string	unique participant identifier	149	0			False			nb:ParticipantID								Alyssa				
ds004584	TYPE	Int64	numeric value of participant type	2	0			True	0	1									Alyssa				
ds004584	UPDRS	Int64	UPDRS score	26	49			False	1	28		nb:Assessment	342061000000106	Unified Parkinsons disease rating scale score	Unified Parkinsons disease rating scale score	high	correct		Alyssa				
ds004602	Age	Int64	Age of the participant	10	0		years	False	18	32	nb:Age								Alyssa			nb:FromFloat	
ds004602	Ethnicity	string	Ethnicity of participants	2	0	Y, N		True											Alyssa				
ds004602	Gender	string	Gender of the participant	3	0	M, W, O		True			nb:Sex								Alyssa				
ds004602	participant_id	string		182	0			False			nb:ParticipantID								Alyssa				
ds004602	Race	string	Race of the participant	5	0	AIA, A, BAA, M, W		True											Alyssa				
ds004602	Sex	string	Sex of the participant	2	0	M, F		True			nb:Sex								Alyssa				
ds004602	StudySite	string	Study site where participant was run	2	0	B, U		True											Alyssa				
ds004602	SubjectID	Int64	Subject ID	182	0			False	1002	2136	nb:ParticipantID								Alyssa				
ds004605	age	Float64	age of the participant	110	0		years	False	7.6	20.5	nb:Age								Alyssa			nb:FromFloat	
ds004605	participant_id	string	participant identifier	583	0			False			nb:ParticipantID								Alyssa				
ds004605	sex	Int64	sex of the participant as reported by the participant	2	0	1, -1		True	-1	1	nb:Sex								Alyssa				
ds004627	datasharing	Int64	1 if the participant consented to broad datasharing, 0 otherwise	1	0			True	1	1									Alyssa				
ds004627	participant_id	string		130	0			False			nb:ParticipantID								Alyssa				
ds004627	sex	string	Biological sex at birth	2	0			True			nb:Sex								Alyssa				
ds004627	subject	Int64		130	0			False	20900	24264									Alyssa				
ds004711	age	Float64	This column contains participant age at the time of the neuroimaging session, calculated from self-reported date of birth.	186	0			False	16.22	81.48	nb:Age								Alyssa			nb:FromFloat	
ds004711	bart_run1	Int64	This column indicates whether data for the first run of the Balloon Analogue Risk Task was collected inside the scanner for a given participant. 0 = no, 1 = yes.	2	0			True	0	1		nb:Assessment	other assessment	n/a	not found	medium	correct	No term available	Alyssa				
ds004711	bart_run2	Int64	This column indicates whether data for the second run of the Balloon Analogue Risk Task was collected inside the scanner for a given participant. 0 = no, 1 = yes.	2	0			True	0	1		nb:Assessment	other assessment	n/a	not found	medium	correct	No term available	Alyssa				
ds004711	delay_discounting	Int64	This column indicates whether data for the delay discounting task was collected inside the scanner for a given participant. 0 = no, 1 = yes.	2	0			True	0	1		nb:Assessment	other assessment	n/a	not found	medium	correct	No term available	Alyssa				
ds004711	gender	string	This column contains participant self-reported gender (male, female).	2	0			True			nb:Sex								Alyssa				
ds004711	participant_id	string	This column contains ids for 189 participants recruited for the neuroimaging session.	189	0			False			nb:ParticipantID								Alyssa				
ds004746	age	Int64	Age of participant	16	0		years	False	27	77	nb:Age								Alyssa			nb:FromFloat	
ds004746	family_id	Int64	random id of family. Twins have the same family id	244	0			False	10119	99196									Alyssa				
ds004746	participant_id	string		397	0			False			nb:ParticipantID								Alyssa				
ds004746	sex	string	Sex of participant	2	0	M, F		True			nb:Sex								Alyssa				
ds004746	twin_id	string	random id of the twin, consisting of the zygosity, family id, twin number (1 or 2) and then the sex (0- female, 1- male)	397	0			False											Alyssa				
ds004746	zygosity	string	type of twins	3	0	MZ, DZ, OS		True											Alyssa				
ds004789	age	Int64	Age of the participant at time of testing	48	0		years	False	18	65	nb:Age								Alyssa			nb:FromFloat	
ds004789	hand	string	Handedness of the participant	3	7	R, L, A		True											Alyssa				
ds004789	participant_id	string	Unique participant identifier	280	0			False			nb:ParticipantID								Alyssa				
ds004789	sex	string	Biological sex of the participant	2	0	F, M		True			nb:Sex								Alyssa				
ds004795	age	Float64		144	0		years	False	18.15	74.8	nb:Age								Alyssa			nb:FromFloat	
ds004795	participant_id	string		148	0			False			nb:ParticipantID								Alyssa				
ds004795	sex	string		2	0	F, M		True			nb:Sex								Alyssa				
ds004796	age	Int64	Age of participants.	14	0		years	False	50	63	nb:Age								Alyssa			nb:FromFloat	
ds004796	allergies	Int64	Information on having allergies of any type.	2	119	0, 1		True	0	1									Alyssa				
ds004796	APOE_haplotype	string	APOE gene haplotype, based on rs429358/rs7412 results.	7	0			True											Alyssa				
ds004796	APOE_rs429358	string	Apolipoprotein gene rs429358.	4	0			True											Alyssa				
ds004796	APOE_rs7412	string	Apolipoprotein gene rs7412.	5	0			True											Alyssa				
ds004796	AUDIT	Int64	Psychometric tests: Alcohol Use Disorders Identification Test (AUDIT). Total score.	16	0			False	0	23		nb:Assessment	273265007	Alcohol dependence scale	Alcohol use disorders identification test	high	correct	right term, wrong label	Alyssa				
ds004796	basophils	Float64	Blood tests: basophils level.	12	116		K/µl	False	0.01	0.13									Alyssa				
ds004796	basophils_%	Float64	Blood tests: basophils level percent.	17	116		%	False	0.2	2.0									Alyssa				
ds004796	BDI	Int64	Psychometric tests: Beck's Depression Inventory (BDI-II). Total score.	30	0			False	0	39		nb:Assessment	273306008	Beck depression inventory	Beck depression inventory	high	correct		Alyssa				
ds004796	BMI	Float64	Body mass index calculated for each participants, based on height and weight.	167	0			False	19.03	39.04									Alyssa				
ds004796	cholesterol_HDL	Float64	Blood tests: HDL cholesterol level.	72	116		mg/dl	False	28.1	110.3									Alyssa				
ds004796	coffee_status	Int64	Health: coffee intake status.	4	0	0, 1, 2, 3		True	0	3									Alyssa				
ds004796	CVLT_1	Int64	Psychometric tests: California Verbal Learning Test (CVLT). List A, task 1-5.	38	0			False	33	77		nb:Assessment	311478003	California verbal learning test	California verbal learning test	high	correct		Alyssa				
ds004796	CVLT_10	Int64	Psychometric tests: California Verbal Learning Test (CVLT). Intrusion errors - free recall.	9	0			True	0	9		nb:Assessment	311478003	California verbal learning test	California verbal learning test	high	correct		Alyssa				
ds004796	CVLT_11	Int64	Psychometric tests: California Verbal Learning Test (CVLT). Intrusion errors - cued recall.	8	0			True	0	14		nb:Assessment	311478003	California verbal learning test	California verbal learning test	high	correct		Alyssa				
ds004796	CVLT_12	Int64	Psychometric tests: California Verbal Learning Test (CVLT). Recognition: total hits.	7	1			True	10	16		nb:Assessment	311478003	California verbal learning test	California verbal learning test	high	correct		Alyssa				
ds004796	CVLT_13	Int64	Psychometric tests: California Verbal Learning Test (CVLT). Recognition: false alarms.	8	1			True	0	9		nb:Assessment	311478003	California verbal learning test	California verbal learning test	high	correct		Alyssa				
ds004796	CVLT_2	Int64	Psychometric tests: California Verbal Learning Test (CVLT). List A, task 1.	11	0			False	5	15		nb:Assessment	311478003	California verbal learning test	California verbal learning test	high	correct		Alyssa				
ds004796	CVLT_3	Int64	Psychometric tests: California Verbal Learning Test (CVLT). List A, task 5.	9	0			True	8	16		nb:Assessment	311478003	California verbal learning test	California verbal learning test	high	correct		Alyssa				
ds004796	CVLT_4	Int64	Psychometric tests: California Verbal Learning Test (CVLT). List B.	10	0			False	4	13		nb:Assessment	311478003	California verbal learning test	California verbal learning test	high	correct		Alyssa				
ds004796	CVLT_5	Int64	Psychometric tests: California Verbal Learning Test (CVLT). Short-term delay free recall.	12	0			False	5	16		nb:Assessment	311478003	California verbal learning test	California verbal learning test	high	correct		Alyssa				
ds004796	CVLT_6	Int64	Psychometric tests: California Verbal Learning Test (CVLT). Short-term delay cued recall.	11	0			False	6	16		nb:Assessment	311478003	California verbal learning test	California verbal learning test	high	correct		Alyssa				
ds004796	CVLT_7	Int64	Psychometric tests: California Verbal Learning Test (CVLT). Long-term delay free recall.	12	0			False	4	16		nb:Assessment	311478003	California verbal learning test	California verbal learning test	high	correct		Alyssa				
ds004796	CVLT_8	Int64	Psychometric tests: California Verbal Learning Test (CVLT). Long-term delay cued recall.	11	0			False	3	16		nb:Assessment	311478003	California verbal learning test	California verbal learning test	high	correct		Alyssa				
ds004796	CVLT_9	Int64	Psychometric tests: California Verbal Learning Test (CVLT). Perseverations.	21	0			False	0	23		nb:Assessment	311478003	California verbal learning test	California verbal learning test	high	correct		Alyssa				
ds004796	dementia_history_parents	Int64	Health: family history of dementia.	3	0	0, 1, 2		True	0	2									Alyssa				
ds004796	diabetes	Int64	Health: diabetes.	2	0	0, 1		True	0	1									Alyssa				
ds004796	drugs	Int64	Information on taking permanent medication.	2	0	0, 1		True	0	1									Alyssa				
ds004796	education	Int64	Education level of participants.	3	18	0, 1, 2, 3		True	1	3									Alyssa				
ds004796	EHI	Float64	Psychometric tests: Edinburgh Handedness Inventory (EHI). Total score.	11	0			False	20.0	100.0							missed	Edinburgh Handedness Inventory - no term available	Alyssa				
ds004796	eosinophils	Float64	Blood tests: eosinophils level.	28	116		K/µl	False	0.0	1.0									Alyssa				
ds004796	eosinophils_%	Float64	Blood tests: eosinophils level percent.	40	116		%	False	0.0	14.6									Alyssa				
ds004796	erythrocytes	Float64	Blood tests: erythrocytes level.	21	116		K/µl	False	3.9	5.9									Alyssa				
ds004796	hematocrit	Int64	Blood tests: hematocrit level.	16	116		%	False	37	55									Alyssa				
ds004796	hemoglobin	Float64	Blood tests: hemoglobin level.	41	116		K/µl	False	10.8	18.1									Alyssa				
ds004796	HSV_r	Int64	Blood tests: herpes simple virus (HSV) IgG positive result.	2	116	0, 1		True	0	1									Alyssa				
ds004796	hypertension	Int64	Health: hypertension.	2	1	0, 1		True	0	1									Alyssa				
ds004796	ibuprofen_intake	Int64	Information on intake of medication with ibuprofen or other non-steroidal anti-inflammatory drugs.	5	1	0, 1, 2, 3, 4		True	0	4									Alyssa				
ds004796	LDL_cholesterol	Float64	Blood tests: LDL cholesterol level.	76	116		mg/dl	False	54.12	200.36									Alyssa				
ds004796	learning_deficits	string	Learning deficits.	6	17	0, 1, 2, 3, 4, 5		True											Alyssa				
ds004796	leukocytes	Float64	Blood tests: leukocytes level.	50	116		K/µl	False	3.5	11.3									Alyssa				
ds004796	lymphocytes	Float64	Blood tests: lymphocytes level.	24	116		K/µl	False	1.0	5.4									Alyssa				
ds004796	lymphocytes_%	Float64	Blood tests: lymphocytes level percent.	64	116		%	False	15.5	53.1									Alyssa				
ds004796	MCH	Int64	Blood tests: mean cell hemoglobin level (MCH).	9	116		pg	True	24	34									Alyssa				
ds004796	MCHC	Float64	Blood tests: mean corpuscular hemoglobin concentration (MCHC).	32	116		g/dl	False	28.8	35.3									Alyssa				
ds004796	MCV	Int64	Blood tests: mean cell volume level (MCV).	19	116		fl	False	83	102									Alyssa				
ds004796	MINI-COPE_1	Float64	Psychometric tests: Stress coping strategies (Mini-Cope Questionnaire). Question no. 1: points.	6	2			True	0.5	3.0		nb:Assessment	273383002	Coping behavior inventory	Constant and Murley shoulder assessment score	medium	incorrect	right concept, wrong label	Alyssa				
ds004796	MINI-COPE_10	Float64	Psychometric tests: Stress coping strategies (Mini-Cope Questionnaire). Question no. 10: points.	5	2			True	0.0	2.0		nb:Assessment	273383002	Coping behavior inventory	Constant and Murley shoulder assessment score	medium	incorrect	right concept, wrong label	Alyssa				
ds004796	MINI-COPE_11	Float64	Psychometric tests: Stress coping strategies (Mini-Cope Questionnaire). Question no. 11: points.	7	5			True	0.0	3.0		nb:Assessment	273383002	Coping behavior inventory	Constant and Murley shoulder assessment score	medium	incorrect	right concept, wrong label	Alyssa				
ds004796	MINI-COPE_12	Float64	Psychometric tests: Stress coping strategies (Mini-Cope Questionnaire). Question no. 12: points.	6	0			True	0.0	2.5		nb:Assessment	273383002	Coping behavior inventory	Constant and Murley shoulder assessment score	medium	incorrect	right concept, wrong label	Alyssa				
ds004796	MINI-COPE_13	Float64	Psychometric tests: Stress coping strategies (Mini-Cope Questionnaire). Question no. 13: points.	6	4			True	0.0	2.5		nb:Assessment	273383002	Coping behavior inventory	Constant and Murley shoulder assessment score	medium	incorrect	right concept, wrong label	Alyssa				
ds004796	MINI-COPE_14	Float64	Psychometric tests: Stress coping strategies (Mini-Cope Questionnaire). Question no. 14: points.	7	4			True	0.0	3.0							missed		Alyssa				
ds004796	MINI-COPE_2	Float64	Psychometric tests: Stress coping strategies (Mini-Cope Questionnaire). Question no. 2: points.	6	4			True	0.5	3.0		nb:Assessment	273383002	Coping behavior inventory	Constant and Murley shoulder assessment score	medium	incorrect	right concept, wrong label	Alyssa				
ds004796	MINI-COPE_3	Float64	Psychometric tests: Stress coping strategies (Mini-Cope Questionnaire). Question no. 3: points.	7	5			True	0.0	3.0		nb:Assessment	273383002	Coping behavior inventory	Constant and Murley shoulder assessment score	medium	incorrect	right concept, wrong label	Alyssa				
ds004796	MINI-COPE_4	Float64	Psychometric tests: Stress coping strategies (Mini-Cope Questionnaire). Question no. 4: points.	7	4			True	0.0	3.0		nb:Assessment	273383002	Coping behavior inventory	Constant and Murley shoulder assessment score	medium	incorrect	right concept, wrong label	Alyssa				
ds004796	MINI-COPE_5	Float64	Psychometric tests: Stress coping strategies (Mini-Cope Questionnaire). Question no. 5: points.	7	4			True	0.0	3.0		nb:Assessment	273383002	Coping behavior inventory	Constant and Murley shoulder assessment score	medium	incorrect	right concept, wrong label	Alyssa				
ds004796	MINI-COPE_6	Float64	Psychometric tests: Stress coping strategies (Mini-Cope Questionnaire). Question no. 6: points.	7	4			True	0.0	3.0		nb:Assessment	273383002	Coping behavior inventory	Constant and Murley shoulder assessment score	medium	incorrect	right concept, wrong label	Alyssa				
ds004796	MINI-COPE_7	Float64	Psychometric tests: Stress coping strategies (Mini-Cope Questionnaire). Question no. 7: points.	7	1			True	0.0	3.0		nb:Assessment	273383002	Coping behavior inventory	Constant and Murley shoulder assessment score	medium	incorrect	right concept, wrong label	Alyssa				
ds004796	MINI-COPE_8	Float64	Psychometric tests: Stress coping strategies (Mini-Cope Questionnaire). Question no. 8: points.	7	4			True	0.0	3.0		nb:Assessment	273383002	Coping behavior inventory	Constant and Murley shoulder assessment score	medium	incorrect	right concept, wrong label	Alyssa				
ds004796	MINI-COPE_9	Float64	Psychometric tests: Stress coping strategies (Mini-Cope Questionnaire). Question no. 9: points.	7	5			True	0.0	3.0		nb:Assessment	273383002	Coping behavior inventory	Constant and Murley shoulder assessment score	medium	incorrect	right concept, wrong label	Alyssa				
ds004796	monocytes	Float64	Blood tests: monocytes level.	39	116		K/µl	False	0.3	1.03									Alyssa				
ds004796	monocytes_%	Float64	Blood tests: monocytes level percent.	44	116		%	False	5.9	16.8									Alyssa				
ds004796	MPV	Float64	Blood tests: mean platelet volume (MPV).	36	116		fl	False	9.4	13.5									Alyssa				
ds004796	NEO_AGR	Int64	Psychometric tests: NEO-FFI Personality Inventory. Total score on agreeableness scale.	31	1			False	12	47		nb:Assessment	273310007	NEO-FFI Personality Inventory. Total score on agreeableness scale	not found	high	incorrect	no term available	Alyssa				
ds004796	NEO_CON	Int64	Psychometric tests: NEO-FFI Personality Inventory. Total score on conscientiousness scale.	31	1			False	14	47		nb:Assessment	273310008	NEO-FFI Personality Inventory. Total score on conscientiousness scale	not found	high	incorrect	no term available	Alyssa				
ds004796	NEO_EXT	Int64	Psychometric tests: NEO-FFI Personality Inventory. Total score on extraversion scale.	33	1			False	6	44		nb:Assessment	273310009	NEO-FFI Personality Inventory. Total score on extraversion scale	not found	high	incorrect	no term available	Alyssa				
ds004796	NEO_NEU	Int64	Psychometric tests: NEO-FFI Personality Inventory. Total score on neuroticism scale.	37	1			False	0	41		nb:Assessment	273310010	NEO-FFI Personality Inventory. Total score on neuroticism scale	not found	high	incorrect	no term available	Alyssa				
ds004796	NEO_OPE	Int64	Psychometric tests: NEO-FFI Personality Inventory. Total score on openness scale.	31	1			False	14	45		nb:Assessment	273310011	NEO-FFI Personality Inventory. Total score on openness scale	not found	high	incorrect	no term available	Alyssa				
ds004796	neutrophils	Float64	Blood tests: neutrophils level.	68	116		K/µl	False	1.53	5.91									Alyssa				
ds004796	neutrophils_%	Float64	Blood tests: neutrophils level percent.	69	116		%	False	36.3	75.3									Alyssa				
ds004796	non-HDL_cholesterol	Float64	Blood tests: non-HDL cholesterol level.	74	116		mg/dl	False	74.6	230.7									Alyssa				
ds004796	other_diseases	Int64	Health: any other chronic diseases/heatlh problems.	2	3	0, 1		True	0	1									Alyssa				
